id,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
125,61,Self-emp-inc,66614,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
126,27,Private,232782,Some-college,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
127,19,Private,316868,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,<=50K
129,70,Private,105376,Some-college,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
130,31,Private,185814,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
131,22,Private,175374,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
132,36,Private,108293,HS-grad,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
133,64,Private,181232,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
134,47,Local-gov,186009,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,<=50K
135,34,Private,198183,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
136,33,Private,163003,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
137,21,Private,296158,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
138,48,Private,187715,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
139,23,Private,214542,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
140,71,Self-emp-not-inc,494223,Some-college,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
141,29,Private,191535,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
142,42,Private,228456,Bachelors,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
143,25,Private,252752,HS-grad,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
144,44,Self-emp-inc,78374,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
145,28,Private,88419,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50K
147,36,Private,207157,Some-college,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
148,39,Federal-gov,235485,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
149,46,State-gov,102628,Masters,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
150,18,Private,25828,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
151,66,Local-gov,54826,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
152,27,Private,124953,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
153,28,State-gov,175325,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
155,27,Private,428030,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
157,27,Private,253814,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
158,21,Private,312956,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
159,34,Private,483777,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
160,18,Private,183930,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
161,33,Private,37274,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
162,43,Private,114580,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
163,30,Private,633742,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
166,34,Private,304030,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
167,41,Self-emp-not-inc,143129,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
168,31,Private,99928,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
170,38,Private,155222,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
171,24,Private,159567,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
172,41,Local-gov,523910,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
173,47,Private,120939,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
174,41,Federal-gov,130760,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
175,23,Private,197387,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50K
176,36,Private,99374,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
179,24,Self-emp-not-inc,32921,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
180,26,Private,397317,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
181,42,Local-gov,254817,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K
182,37,State-gov,48211,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
183,18,Private,140164,11th,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
185,35,Private,36270,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
187,17,Private,65368,11th,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
188,44,Local-gov,160943,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
190,35,Private,153790,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
191,60,Private,85815,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
194,50,Private,313321,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
195,38,Private,182609,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,<=50K
196,45,Private,109434,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
197,25,Private,255004,10th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
198,31,Private,197860,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
199,90,Private,51744,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
200,54,Private,176681,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K
201,53,Local-gov,140359,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
202,18,Private,243313,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
203,66,Self-emp-not-inc,167687,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
204,75,Private,314209,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,<=50K
205,65,Private,176796,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
206,35,Private,538583,11th,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
207,41,Private,130408,HS-grad,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
208,25,Private,159732,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
209,33,Private,110978,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
210,59,State-gov,268700,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
211,40,State-gov,170525,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
214,23,Private,115458,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
216,41,Self-emp-not-inc,196001,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
217,24,State-gov,273905,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
218,38,Private,179488,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50K
220,32,Private,183916,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
222,42,Private,390781,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
223,59,Local-gov,171328,10th,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
224,19,Local-gov,27382,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
225,58,Private,259014,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,<=50K
227,20,Private,117789,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
228,32,Private,172579,HS-grad,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
229,45,Private,187666,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
230,50,Private,204518,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
231,36,Private,150042,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
232,45,Private,98092,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
233,17,Private,245918,11th,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
234,59,Private,146013,Some-college,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
235,26,Private,378322,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
238,33,Private,185480,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
241,17,Private,191260,9th,Never-married,Other-service,Own-child,White,Male,1055,0,24,United-States,<=50K
242,50,Self-emp-not-inc,30653,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,United-States,<=50K
243,27,Local-gov,209109,Masters,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,<=50K
244,30,Private,70377,HS-grad,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
245,43,Private,477983,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
246,35,Private,190174,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
247,25,Private,193787,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
249,22,Private,34918,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Germany,<=50K
251,34,Private,175413,Assoc-acdm,Divorced,Sales,Unmarried,Black,Female,0,0,45,United-States,<=50K
252,60,Private,173960,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,42,United-States,<=50K
253,21,Private,205759,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
254,57,Federal-gov,425161,Masters,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States,>50K
256,50,Private,176609,Some-college,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K
257,25,Private,371987,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
258,50,Private,193884,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Ecuador,<=50K
259,36,Private,200352,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
260,31,Private,127595,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
261,29,Local-gov,220419,Bachelors,Never-married,Protective-serv,Not-in-family,White,Male,0,0,56,United-States,<=50K
262,21,Private,231931,Some-college,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,<=50K
263,27,Private,248402,Bachelors,Never-married,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K
264,65,Private,111095,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,United-States,<=50K
265,37,Self-emp-inc,57424,Bachelors,Divorced,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
266,24,Private,278130,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
267,38,Private,169469,HS-grad,Divorced,Sales,Not-in-family,White,Male,0,0,80,United-States,<=50K
268,48,Private,146268,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,40,United-States,>50K
269,21,Private,153718,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,25,United-States,<=50K
271,24,Private,303296,Some-college,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,Laos,<=50K
272,43,Private,173321,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
273,26,Private,193945,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,<=50K
274,46,Private,83082,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,33,United-States,<=50K
277,26,Private,59306,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
280,22,Private,199698,Some-college,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K
281,24,Private,191954,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
282,77,Self-emp-not-inc,138714,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
283,22,Private,399087,5th-6th,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,40,Mexico,<=50K
284,29,Private,423158,Some-college,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
285,62,Private,159841,HS-grad,Widowed,Other-service,Not-in-family,White,Female,0,0,24,United-States,<=50K
286,39,Self-emp-not-inc,174308,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
287,43,Private,50356,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,50,United-States,<=50K
288,35,Private,186110,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
289,29,Private,200381,11th,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
290,76,Self-emp-not-inc,174309,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10,United-States,<=50K
291,63,Self-emp-not-inc,78383,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
292,58,Self-emp-not-inc,321171,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
293,66,Private,127921,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,2050,0,55,United-States,<=50K
294,41,Private,206565,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
295,26,Private,224563,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
296,47,Private,178686,Assoc-voc,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
297,55,Local-gov,98545,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
298,53,Private,242606,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
299,17,Private,270942,5th-6th,Never-married,Other-service,Other-relative,White,Male,0,0,48,Mexico,<=50K
300,30,Private,94235,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
301,49,Private,71195,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
302,19,Private,104112,HS-grad,Never-married,Sales,Unmarried,Black,Male,0,0,30,Haiti,<=50K
303,45,Private,261192,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
304,26,Private,94936,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
